Once Upon a Time in the West	 --- Sergio Leone (dir.), Henry Fonda, Charles Bronson	 --- 1968	 --- 308,483	 --- 8.4
Rear Window	 --- Alfred Hitchcock (dir.), James Stewart, Grace Kelly	 --- 1954	 --- 453,423	 --- 8.4
Nuovo Cinema Paradiso	 --- Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale	 --- 1988	 --- 237,521	 --- 8.4
Alien	 --- Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt	 --- 1979	 --- 805,460	 --- 8.4
Apocalypse Now	 --- Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando	 --- 1979	 --- 618,749	 --- 8.4
Memento	 --- Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss	 --- 2000	 --- 1,147,931	 --- 8.4
Raiders of the Lost Ark	 --- Steven Spielberg (dir.), Harrison Ford, Karen Allen	 --- 1981	 --- 899,728	 --- 8.4
The Great Dictator	 --- Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard	 --- 1940	 --- 207,455	 --- 8.4
The Lives of Others	 --- Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck	 --- 2006	 --- 366,287	 --- 8.4
Django Unchained	 --- Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz	 --- 2012	 --- 1,393,873	 --- 8.4
Paths of Glory	 --- Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker	 --- 1957	 --- 182,595	 --- 8.4
Sunset Blvd.	 --- Billy Wilder (dir.), William Holden, Gloria Swanson	 --- 1950	 --- 205,918	 --- 8.4
WALL·E	 --- Andrew Stanton (dir.), Ben Burtt, Elissa Knight	 --- 2008	 --- 1,022,247	 --- 8.4
The Shining	 --- Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall	 --- 1980	 --- 920,586	 --- 8.4
Witness for the Prosecution	 --- Billy Wilder (dir.), Tyrone Power, Marlene Dietrich	 --- 1957	 --- 112,365	 --- 8.4
Avengers: Infinity War	 --- Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth	 --- 2018	 --- 884,109	 --- 8.4
Joker	 --- Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro	 --- 2019	 --- 1,008,518	 --- 8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	 --- Stanley Kubrick (dir.), Peter Sellers, George C. Scott	 --- 1964	 --- 458,462	 --- 8.4
Spider-Man: Into the Spider-Verse	 --- Bob Persichetti (dir.), Shameik Moore, Jake Johnson	 --- 2018	 --- 403,865	 --- 8.3
Oldeuboi	 --- Chan-wook Park (dir.), Choi Min-sik, Yoo Ji-Tae	 --- 2003	 --- 528,783	 --- 8.3
Mononoke-hime	 --- Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida	 --- 1997	 --- 353,943	 --- 8.3
Hamilton	 --- Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo	 --- 2020	 --- 65,667	 --- 8.3
Once Upon a Time in America	 --- Sergio Leone (dir.), Robert De Niro, James Woods	 --- 1984	 --- 319,247	 --- 8.3
Kimi no na wa.	 --- Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi	 --- 2016	 --- 211,134	 --- 8.3
The Dark Knight Rises	 --- Christopher Nolan (dir.), Christian Bale, Tom Hardy	 --- 2012	 --- 1,549,609	 --- 8.3
Aliens	 --- James Cameron (dir.), Sigourney Weaver, Michael Biehn	 --- 1986	 --- 664,626	 --- 8.3
Coco	 --- Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal	 --- 2017	 --- 409,293	 --- 8.3
Pather Panchali	 --- Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee	 --- 1955	 --- 25,624	 --- 8.3
Das Boot	 --- Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer	 --- 1981	 --- 236,065	 --- 8.3
Capharnaüm	 --- Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw	 --- 2018	 --- 69,881	 --- 8.3
Avengers: Endgame	 --- Anthony Russo (dir.), Robert Downey Jr., Chris Evans	 --- 2019	 --- 884,731	 --- 8.3
Tengoku to jigoku	 --- Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada	 --- 1963	 --- 36,915	 --- 8.3
American Beauty	 --- Sam Mendes (dir.), Kevin Spacey, Annette Bening	 --- 1999	 --- 1,087,123	 --- 8.3
Toy Story	 --- John Lasseter (dir.), Tom Hanks, Tim Allen	 --- 1995	 --- 907,430	 --- 8.3
Braveheart	 --- Mel Gibson (dir.), Mel Gibson, Sophie Marceau	 --- 1995	 --- 974,862	 --- 8.3
Amadeus	 --- Milos Forman (dir.), F. Murray Abraham, Tom Hulce	 --- 1984	 --- 375,766	 --- 8.3
3 Idiots	 --- Rajkumar Hirani (dir.), Aamir Khan, Madhavan	 --- 2009	 --- 357,324	 --- 8.3
Inglourious Basterds	 --- Quentin Tarantino (dir.), Brad Pitt, Diane Kruger	 --- 2009	 --- 1,302,462	 --- 8.3
Good Will Hunting	 --- Gus Van Sant (dir.), Robin Williams, Matt Damon	 --- 1997	 --- 882,483	 --- 8.3
Star Wars: Episode VI - Return of the Jedi	 --- Richard Marquand (dir.), Mark Hamill, Harrison Ford	 --- 1983	 --- 968,565	 --- 8.3
2001: A Space Odyssey	 --- Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood	 --- 1968	 --- 616,061	 --- 8.3
Reservoir Dogs	 --- Quentin Tarantino (dir.), Harvey Keitel, Tim Roth	 --- 1992	 --- 938,182	 --- 8.3
M - Eine Stadt sucht einen Mörder	 --- Fritz Lang (dir.), Peter Lorre, Ellen Widmann	 --- 1931	 --- 146,730	 --- 8.3
Taare Zameen Par	 --- Aamir Khan (dir.), Darsheel Safary, Aamir Khan	 --- 2007	 --- 175,547	 --- 8.3
Citizen Kane	 --- Orson Welles (dir.), Orson Welles, Joseph Cotten	 --- 1941	 --- 413,422	 --- 8.3
Vertigo	 --- Alfred Hitchcock (dir.), James Stewart, Kim Novak	 --- 1958	 --- 372,326	 --- 8.3
Requiem for a Dream	 --- Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto	 --- 2000	 --- 781,926	 --- 8.3
Jagten	 --- Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen	 --- 2012	 --- 293,938	 --- 8.3
